".requirementSetNames.liabilityWaiver","Liability Waiver","Haftungsverzicht"
".requirementSetNames.medicalInformation","Medical Information","Medizinische Informationen"
".requirementSetNames.participationWaiver","Participation Waiver","Verzichtserklärung für Teilnahme"
".requirementSetNames.passportInformation","Passport Information","Reisepassinformation"
".requirementSetNames.personalInformation","Personal Information","Personalangaben"
".requirementSetNames.transferInformation","Transfer Information","Transferinformationen"
".requirementSetNames.travelDocuments","Travel Documents","Reisedokumente"
".formLogin.title","{name}","{name}"
".formLogin.question","Are you Good to Go?","Bist du reisefertig?"
".formLogin.authPrompt","You’ve purchased your tour, but we need more details
                                     before you take off. Log in here to manage all your
                                     pre-departure info. You can begin as soon as your first
                                     booking has been confirmed.","Wir benötigen noch weitere Informationen, bevor du deine Reise antreten kannst. Melde dich hier an, um deine Daten vor der Abreise zu verwalten. Sobald deine erste Buchung bestätigt wurde, kannst du loslegen."
".passengersDropdownIsVisisble.view_all","All Passengers","Alle Passagiere"
".navMenu.passengers","Select Traveller","Reisender auswählen"
".navMenu.requirements","Requirements","Anforderungen"
".travellerTitle.travellerName","{traveller} {name}","{traveller} {name}"
".travellerTitle.traveller","Traveller:","Reisender:"
".passengerListItem.completed","Completed","Fertig"
".passengerListItem.reminder","Send Reminder","Erinnerung senden"
".passengerListTable.legal","All personal information provided to G Adventures by travellers is collected,
                            used, and disclosed only in accordance with the G Adventures Privacy Policy,
                            which can be accessed anytime at: {privacyPolicyLink}.","Alle von Reisenden an G Adventures übermittelten persönlichen Daten werden
ausschließlich gemäß der Datenschutzrichtlinie von G Adventures gesammelt,
verwendet und offengelegt. Die Datenschutzrichtlinie ist jederzeit hier einsehbar :"
".reminderModal.title","Good to Go Reminder","Good to Go-Erinnerung"
".reminderModal.recipient","Reminder","Erinnerung"
".reminderModal.privacyNotice","This email will be used for the purpose of sending this reminder.","An diese E-Mail-Adresse wird die Erinnerung geschickt."
".reminderModal.sendButton","Send Reminder","Erinnerung senden"
".reminderModal.sent","Sent!","Gesendet!"
".reminderModal.sending","Sending...","Wird gesendet…"
".reminderModal.copyUrl","Copy Url","Url kopieren"
".reminderModal.copiedUrl","Copied!","Kopiert!"
".startHeader.selectPassenger","Select the traveller for whom you'd like to enter requirement information.","Reisenden auswählen, für den du die benötigten Informationen eingeben willst."
".startHeader.remindPassenger","Send an email reminder to a fellow traveller if you
                                would like them to complete their Good to Go documents.","Schicke einem Mitreisenden eine Erinnerungs-E-Mail,
die Good to Go-Unterlagen auszufüllen."
".checkinDocuments.title","Documents","Dokumente"
".completedByTag.completedBy","Completed By","Ausgefüllt von"
".completedByTag.agentProfile","Agent","Expedient"
".completedByTag.staffProfile","Staff","Personal"
".formAcknowledgements.galapagosAckno","{stubText}","{stubText}"
".formAcknowledgements.galapagosAcknoTitle","Galapagos Boat Change","Galápagos-Schiffsänderung"
".formAcknowledgements.galapagosAcknoText","Please acknowledge the change affecting
                                             your upcoming Galapagos voyage.","Bitte bestätige die Änderung betreffend
deine kommende Galápagosreise."
".formAcknowledgements.hotelChangeAckno","{stubText}","{stubText}"
".formAcknowledgements.hotelChangeAcknoTitle","Hotel Change","Änderung des Hotels"
".formAcknowledgements.hotelChangeAcknoText","We just need to make sure that you're aware of
                                             the slight change to your itinerary - you should
                                             have received an email communication from us recently.","Wir müssen nur sicherstellen, dass du über die kleine Änderung deines Reiseablaufs Bescheid weißt – du müsstest diesbezüglich kürzlich eine E-Mail von uns erhalten haben."
".formAcknowledgements.itineraryChangeAckno","{stubText}","{stubText}"
".formAcknowledgements.itineraryChangeAcknoTitle","Itinerary Change","Änderung des Reiseablaufs"
".formAcknowledgements.itineraryChangeAcknoText","Please acknowledge the interary change effecting
                                             your upcoming G Adventure.","Bitte bestätige die Änderung des Reiseablaufs
deiner kommenden Reise mit G Adventures."
".formAcknowledgements.oddNumTravellersAckno","{stubText}","{stubText}"
".formAcknowledgements.oddNumTravellersAcknoTitle","Odd Number of Travellers","Ungerade Anzahl an Reisenden"
".formAcknowledgements.oddNumTravellersAcknoText","As there is an odd number of travellers in your
                                             party, you may wish to reach us by phone or email to
                                             inform us as to which traveller will be sharing a room
                                             with another G Traveller outside your party.","Da es eine ungerade Anzahl Reisender in deiner Gruppe gibt,
gib uns bitte kurz telefonisch oder per E-Mail Bescheid,
welcher Reisende sich ein Zimmer mit einem anderen Reisenden
von G Adventures außerhalb eurer Gruppe teilen wird."
".formAcknowledgements.serviceGapAckno","{stubText}","{stubText}"
".formAcknowledgements.serviceGapAcknoTitle","Service Gap","Leistungslücke"
".formAcknowledgements.serviceGapAcknoText","We just want to make sure you're aware that you've
                                             booked some additional nights outside of the scheduled
                                             itinerary. If you would like a quote for additional
                                             accommodation, please contact us by phone or email.","Wir möchten nur sicherstellen, dass du weißt, dass du zusätzliche Übernachtungen außerhalb des geplanten Reiseablaufs gebucht hast. Bitte kontaktiere uns telefonisch oder per E-Mail für ein Angebot für zusätzliche Unterbringung."
".formAcknowledgements.unusualStartEndTimeAckno","{stubText}","{stubText}"
".formAcknowledgements.unusualStartEndTimeAcknoTitle","Unusual Start/End Time","Ungewöhnliche Startzeit/Endzeit"
".formAcknowledgements.unusualStartEndTimeAcknoText","We just want to make sure you're aware that your
                                             adventure starts/ends at a specified time.","Wir möchten nur sicherstellen, dass du weißt,
wann genau deine Reise beginnt bzw. endet."
".formContactInformation.emailAddress","Email Address","E-Mail-Adresse"
".formContactInformation.addressStreet","Address Street","Adresse Straße"
".formContactInformation.addressCity","City","Stadt"
".formContactInformation.addressState","State/Province","Region/Bundesland"
".formContactInformation.addressPostalZip","Postal/Zip Code","Postleitzahl"
".formContactInformation.addressCountry","Country","Land"
".formContactInformation.countryOfRes","Country of Residence","Land"
".formContactInformation.instructionalText.phoneNumbers1","If you wish to provide a phone number, please
                                                 enter {atLeastOne}.","Wenn du eine Telefonnummer angeben möchtest, gib bitte
{atLeastOne} Nummer ein."
".formContactInformation.instructionalText.phoneNumbers.atLeastOne","at least one","mindestens eine"
".formContactInformation.instructionalText.phoneNumbers2","Please provide {atLeastOne} phone number.","Gib bitte {atLeastOne} Telefonnummer ein."
".formContactInformation.mobilePhone","Mobile Phone #","Handynummer"
".formContactInformation.homePhone","Home Phone #","Festnetznummer"
".formContactInformation.smsFlightAlerts","I want to receive SMS flight alerts","Ich möchte Benachrichtigungen zu meinem Flug per SMS erhalten"
".formContactInformation.emailFlightAlerts","I want to receive email flight alerts","Ich möchte Benachrichtigungen zu meinem Flug per E-Mail erhalten"
".formEmergencyContactInformation.firstName","First Name","Vorname"
".formEmergencyContactInformation.lastName","Last Name","Nachname"
".formEmergencyContactInformation.phoneNumber","Phone Number","Telefonnummer"
".formFlightInformation.connectionX","Connection {x}","Verbindung {x}"
".formFlightInformation.airline","Airline Code","IATA-Code"
".formFlightInformation.flightNumber","Flight Number","Flugnummer"
".formFlightInformation.departureAirportHelp","The airport this flight leaves from","Der Abflughafen für diesen Flug"
".formFlightInformation.connectingAirportHelp","The airport where you change flights","Der Flughafen, wo du umsteigst"
".formFlightInformation.departureTimeHelp","The day your flight departs","Der Abflugtag"
".formFlightInformation.departureTimeConnectingHelp","The day your connecting flight departs","Der Abflugtag deines Anschlussfluges"
".formFlightInformation.addConnection","Add connection","Anschlussflug hinzufügen"
".formFlightInformation.clearFlight","Clear Flight","Flug löschen"
".flightInformation.sameAsLastDeparture","Same as departure from {lastDeparture}","Gleiches Abreisedatum wie {lastDeparture}"
".flightInformation.arrivalTooSoon","My flight arrives before {twentyOneDaysPriorToTour}","Landung vor dem {twentyOneDaysPriorToTour}"
".flightInformation.departureTooLate","My flight departs after {twentyOneDaysAfterTour}","Abflug nach dem {twentyOneDaysAfterTour}"
".formFlightInformation.arrivingBy","I'm arriving by...","Anreise mit dem..."
".formFlightInformation.leavingBy","I'm leaving by...","Abfahrt mit dem..."
".formFlightInformation.arrival","Arrival to tour","Anreise zum Trip"
".formFlightInformation.departure","Departure from tour","Abreise vom Trip"
".formFlightInformation.tourStarts","tour starts","Reise beginnt am"
".formFlightInformation.tourEnds","tour ends","Reise endet am"
".formFlightInformation.cannotLoadFlight","Could not load flight details.","Flugdetails konnten nicht geladen werden."
".formFlightInformation.instructionalText","Please ensure you provide {eachLeg} of the flights to and from your tour(s).
                                             So for example: if you have a flight with a stop-over, please enter in the
                                              details for the flights before and after the stop-over (using the
                                              ""Add Connection"" button).","Bitte gib alle {eachLeg} des Hin- und Rückflugs für deine Reise(n) an.
Beispiel: Bei einem Flug mit Zwischenstopp gib bitte die Details der Flüge vor und nach dem Zwischenstopp ein (mittels der Schaltfläche „Anschlussflug hinzufügen“)"
".formFlightInformation.instructionalText.eachLeg","each leg","Teilstrecken"
".flightInformation.internationalTicketNumber","International Ticket Number","Internationale Ticketnummer"
".formFlightInformation.internationalTicketNumber.prompt","{internationalTicketNumberText}","{internationalTicketNumberText}"
".formFlightInformation.internationalTicketNumber.prompt.part1","The 13 digit E-Ticket number, assigned to each flight passenger, is found on your international air ticket itinerary.","Die 13-stellige E-Ticketnummer findest du auf deinem internationalen Flugticket."
".formFlightInformation.internationalTicketNumber.prompt.part2","For Example:","Zum Beispiel:"
".formInsuranceInformation.instructionalText","When selecting a travel insurance policy, we require that at a
                                         minimum you are covered for medical expenses including emergency
                                         evacuation and repatriation. A minimum coverage of USD200,000 is
                                         required.","Deine Reiseversicherung muss mindestens die Kosten für medizinische Versorgung im Notfall und Rücktransport abdecken. Die Versicherungssumme muss mindestens 200.000 US-Dollar betragen."
".formInsuranceInformation.startDateInfoText","{dateTextStart}","{dateTextStart}"
".formInsuranceInformation.endDateInfoText","{dateTextEnd}","{dateTextEnd}"
".formMedicalInformation.medicalFormStub","{stubText}","{stubText}"
".formMedicalInformation.medicalFormStubTitle","Medical Form","Medizinisches Formular"
".formMedicalInformation.medicalFormStubText","We need you to submit a medical form before your
                                         adventure.","Vor dem Start deiner Reise musst du uns
ein medizinisches Formular übermitteln."
".formWaiver.medicalInfoDifferentUser","These medical requirements must be completed by {name}.","Diese medizinischen Informationen müssen von {name} ausgefüllt werden."
".formMedicalInformation.medicalConditions","Medical Conditions","Gesundheitszustand"
".formMedicalInformation.medicalConditionsHelpText","If you have any pre-existing medical conditions, please list them ONLY if: {ul}","Bitte gib etwaige Vorerkrankungen NUR an, wenn: {ul}"
".formMedicalInformation.medicalConditionsHelpText.list","{l1} {l2} {l3}","{l1} {l2} {l3}"
".formMedicalInformation.medicalConditionsHelpText.list.l1","they affect your ability to participate in the activities on your trip(s)","sie deine Fähigkeit zur Teilnahme an Aktivitäten im Rahmen deiner Reise(n) beeinträchtigen"
".formMedicalInformation.medicalConditionsHelpText.list.l2","they affect your ability to travel to locations with limited access to medical care; OR","sie deine Fähigkeit zur Reise an Orte mit eingeschränktem Zugang zu medizinischer Versorgung einschränken; ODER"
".formMedicalInformation.medicalConditionsHelpText.list.l3","they may put your fellow travellers at risk.","sie ein Risiko für deine Mitreisenden darstellen könnten."
".formMedicalInformation.riskToOthers","Risk To Others","Risiko für andere"
".formMedicalInformation.riskToOthersHelpText","List any pre-existing medical conditions that
                                                                     may put your fellow travellers at risk.","Bitte gib alle Vorerkrankungen an, die ein Risiko
 für deine Mitreisenden darstellen könnten."
".formMedicalInformation.mobilityIssues","Mobility Issues","Mobilität"
".formMedicalInformation.mobilityIssuesHelpText","If you have any mobility issues, please list them ONLY if they may impact your participation in any of the activities on your chosen trip(s).","Bitte gib etwaige Mobilitätseinschränkungen NUR an, wenn sie deine Fähigkeit zur Teilnahme an Aktivitäten im Rahmen deiner Reise(n) beeinträchtigen könnten."
".formMedicalInformation.dietaryRestrictions","Allergies & Dietary Restrictions","Allergien und besondere Ernährungsbedürfnisse"
".formMedicalInformation.dietaryRestrictionsHelpText","List any allergies or special meal requirements that we should be aware of prior to you leaving for your trip.","Bitte gib alle Allergien oder besonderen Ernährungsbedürfnisse an, über die wir vor deiner Abreise Bescheid wissen sollten."
".formPassportDetails.passportExpiresAckno","{stubText}","{stubText}"
".formPassportDetails.passportExpiresAcknoTitle","Passport Expires Soon","Reisepass läuft in Kürze ab"
".formPassportDetails.passportExpiresAcknoText","The passport we have on file for you is expiring in less
                                         than 6 months of the last day of your trip. Many
                                         countries require at least 6 months passport
                                         validity from your date of departure, please check
                                         directly with the embassy/consulate of the countries
                                         you are visiting to ensure entry.","Der Reisepass, den wir für dich gespeichert haben, läuft weniger als 6 Monate nach dem Ende deiner Reise ab. Viele Länder verlangen von Besuchern einen Reisepass, der nach dem Abreisedatum noch mindestens 6 Monate gültig ist. Bitte wende dich direkt an die Botschaften/Konsulate der Länder, die du besuchst, um sicherzustellen, dass du mit diesem Pass einreisen kannst."
".formPassportDetails.instructionalText","Please ensure the following is {asAppearsOnPassport}.","Bitte gib die folgenden Informationen genau so ein, {asAppearsOnPassport}."
".formPassportDetails.instructionalText.asAppears","as it appears on your passport","wie sie in deinem Reisepass stehen"
".formPersonalInformation.jacketSizeStub","{stubText}","{stubText}"
".formPersonalInformation.jacketSizeStubTitle","Jacket Size","Größe Polarjacke"
".formPersonalInformation.jacketSizeStubText","Your expedition includes a complimentary jacket,
                                         please advise us of your desired size.","In deiner Expeditionsreise ist eine Polarjacke inbegriffen.
Bitte gib dafür deine gewünschte Größe an."
".formPersonalInformation.commonNameLabel","Common Name","Name"
".formPersonalInformation.commonNameHelpText","What you'd like us to call you on your tour.","Wie du auf der Reise angesprochen werden möchtest."
".formPersonalInformation.travellerHeightLabel","Traveller Height","Körpergröße des Reisenden"
".formPersonalInformation.travellerHeightHelptText","Your height in cm.","Deine Körpergröße in cm."
".formTransferInformation.firstNightHotelStub","{stubText}","{stubText}"
".formTransferInformation.firstNightHotelStubTitle","First Night Hotel","Hotel am 1. Nacht"
".formTransferInformation.firstNightHotelStubText","If you're not arriving on the first day of your tour,
                                         we'd like to know you're settled in and have a place
                                         to stay when you arrive.","Wenn du nicht am ersten Tag der Reise ankommst,
möchten wir sichergehen, dass du bei deiner Ankunft
gut untergebracht bist."
".formTransferInformation.earlyTransferBookedAckno","{stubText}","{stubText}"
".formTransferInformation.earlyTransferBookedAcknoTitle","Early Transfer Booked","Früher Transfer gebucht"
".formTransferInformation.earlyTransferBookedAcknoText","We can see that you're arriving nice and early for
                                         your adventure! Please note that most hotels will
                                         not allow check in until mid-afternoon. Drop your
                                         bags off at the hotel, and go for an exploratory
                                         walk or catch a nice breakfast in the meantime.","Wie wir sehen, kommst du schön zeitig für deine Reise an!
Beachte bitte, dass du in den meisten Hotels erst am
Nachmittag einchecken kannst. In der Zwischenzeit
kannst du dein Gepäck abgeben und einen Spaziergang
machen oder die ein leckeres Frühstück gönnen."
".formTravelDocuments.applicationFormStub","{stubText}","{stubText}"
".formTravelDocuments.applicationFormStubTitle","Application Form","Antragsformular"
".formTravelDocuments.applicationFormStubText","We require you to submit an application form to satisfy
                                         your entry visa requirement for your destination.","Für das Einreisevisum in dein Zielland
musst du ein Antragsformular übermitteln."
".formTravelDocuments.criminalBkgrdCheckStub","{stubText}","{stubText}"
".formTravelDocuments.criminalBkgrdCheckStubTitle","Criminal Background Check","Leumundsprüfung"
".formTravelDocuments.criminalBkgrdCheckStubText","We require you to submit this background check in order
                                         to satisfy your entry visa requirement for your destination.","Für das Einreisevisum in dein Zielland musst du
 diese Hintergrundprüfung übermitteln."
".formTravelDocuments.letterOfRefStub","{stubText}","{stubText}"
".formTravelDocuments.letterOfRefStubTitle","Letter of Reference","Referenzschreiben"
".formTravelDocuments.letterOfRefStubText","We require you to submit this letter of reference in order
                                         to satisfy your entry visa requirement for your destination.","Für das Einreisevisum in dein Zielland musst du dieses Referenzschreiben übermitteln."
".formTravelDocuments.letterOfRefStubTextExtra","Plus, hearing from those you know shows us how you're
                                         even more awesome and incredible than we originally thought.","Außerdem können uns deine Freunde und Bekannten bestätigen, dass du noch toller bist, als wir gedacht haben."
".formTravelDocuments.passportPhotoStub","{stubText}","{stubText}"
".formTravelDocuments.passportPhotoStubTitle","Passport Photo","Passfoto"
".formTravelDocuments.passportPhotoStubText","We require you to submit a scan of a colour, passport
                                         sized photo (taken within 14 days) in jpg or pdf format
                                         in order for us to issue some of your items.","Um einige deiner Unterlagen ausstellen zu können,
benötigen wir von dir einen Scan eines farbigen Passfotos
(aufgenommen in den letzten 14 Tagen) im JPG- oder PDF-Format."
".formTravelDocuments.copyOfPassportSentStub","{stubText}","{stubText}"
".formTravelDocuments.copyOfPassportSentStubTitle","Copy Of Passport Sent","Reisepasskopie übermittelt"
".formTravelDocuments.copyOfPassportSentStubText","A clear, coloured copy of your passport is required for your tour.","Für deine Reise wird eine klar lesbare Farbkopie deines Reisepasses benötigt."
".formTravelDocuments.copyOfVisaSubmittedStub","{stubText}","{stubText}"
".formTravelDocuments.copyOfVisaSubmittedStubTitle","Copy Of Visa Submitted","Visumkopie übermittelt"
".formTravelDocuments.copyOfVisaSubmittedStubText","A clear, coloured copy of your Chinese visa is required for your tour to Tibet.","Für deine Reise nach Tibet wird eine klar lesbare Farbkopie deines Visums für China benötigt."
".formParticipationWaiver.stubText","{waiverText}","{waiverText}"
".formParticipationWaiver.part1.title1","RELEASE OF LIABILITY, WAIVER OF CLAIMS","HAFTUNGSFREISTELLUNG, VERZICHT AUF ANSPRÜCHE"
".formParticipationWaiver.part1.title1.subtitle","ASSUMPTION OF RISK AND INDEMNITY AGREEMENT","RISIKOÜBERNAHME UND HAFTUNGSAUSSCHLUSS"
".formParticipationWaiver.part1.text1","BY CHECKING THE BOX BELOW AND AGREEING TO THE TERMS OF THIS AGREEMENT YOU WILL WAIVE CERTAIN LEGAL RIGHTS INCLUDING THE RIGHT TO SUE","WENN DU DAS KONTROLLKÄSTCHEN UNTEN AKTIVIERST UND DAMIT DEN BEDINGUNGEN DIESER VEREINBARUNG ZUSTIMMST, VERZICHTEST DU AUF GEWISSE RECHTSANSPRÜCHE, DARUNTER DAS RECHT AUF EINBRINGUNG EINER KLAGE"
".formParticipationWaiver.part1.text2","PLEASE READ CAREFULLY","BITTE LIES DIR ALLES SORGFÄLTIG DURCH"
".formParticipationWaiver.part2.text1","TO:  G ADVENTURES INC., and its subsidiaries and affiliates (individually and collectively, the OPERATORS) AND ALL TOUR OPERATORS, SUB-CONTRACTORS AND SUPPLIERS WHO PROVIDE OR MAKE AVAILABLE FACILITIES, PREMISES, ACTIVITIES OR SERVICES FOR THE OPERATORS, and their respective directors, officers, employees, agents, guides, volunteers, independent contractors, representatives, owners, insurers, successors and assigns (hereinafter referred to as the ""RELEASEES"").","AN: G ADVENTURES INC. und seine Tochtergesellschaften (einzeln und gemeinsam die BETREIBER) UND ALLE REISEBETREIBER, SUBUNTERNEHMEN UND LIEFERANTEN, WELCHE EINRICHTUNGEN, ÖRTLICHKEITEN, AKTIVITÄTEN ODER DIENSTLEISTUNGEN FÜR DIE BETREIBER BEREITSTELLEN, deren jeweiligen Direktoren, Führungskräfte, Vertreter, Guides, Freiwillige, freie Dienstnehmer, Repräsentanten, Besitzer, Versicherer, Rechtsnachfolger und Abtretungsempfänger (im Folgenden die „ENTLASTETEN“)."
".formParticipationWaiver.part3.text1.1","For purposes of this Agreement the term “Adventure Activities"" shall include all activities, events, or services provided, arranged, organized, conducted, sponsored, or authorized by the OPERATORS and shall include but are not limited to","Für die Zwecke dieser Vereinbarung umfasst der Begriff „Abenteueraktivitäten“ sämtliche von den BETREIBERN bereitgestellten, arrangierten, organisierten, durchgeführten, gesponserten oder autorisierten Aktivitäten, Veranstaltungen und Dienstleistungen, einschließlich, aber nicht beschränkt auf "
".formParticipationWaiver.part3.text1.2","participation in an adventure travel tour, travel to remote areas without access to medical facilities or treatment, canyoneering, caving, cycling, hang-gliding, horse riding and other equine related activities, hot air balloon rides, mountain biking, parasailing, rock/rope climbing, rappelling, zip lining, scuba diving, helicopter activities, white water rafting, travel in jet boats/speed boats, sailing, trekking, mountaineering, surfing, paragliding, travel to and from the tour areas, orientation and instructional courses, seminars and sessions; and other such activities, events and services in any way connected with or related to these activities.","die Teilnahme an einer Abenteuerreise, Reisen in entlegene Gebiete ohne Zugang zu medizinischen Einrichtungen oder medizinischer Behandlung, Canyoning, Caving, Radfahren, Drachenfliegen, Reiten und sonstige Aktivitäten mit Pferden, Heißluftballonfahrten, Mountainbiken, Parasailing, Fels- bzw. Seilklettern, Abseilen, Seilrutschen, Tauchen, Aktivitäten mit dem Hubschrauber, Rafting, Fahrten mit Jet- bzw. Schnellbooten, Segeln, Trekking, Bergsteigen, Surfen, Paragleiten, An- und Abreise zu den Orten der Touren, Orientierungs- und Einführungskurse, Seminare und Sitzungen; sowie alle Aktivitäten, Veranstaltungen und Dienstleistungen, die in irgendeiner Art und Weise mit diesen Aktivitäten in Zusammenhang stehen."
".formParticipationWaiver.part4.title1","ACKNOWLEDEGMENT – SAFETY","BESTÄTIGUNG – SICHERHEIT"
".formParticipationWaiver.part4.text1","I acknowledge that I am required to wear approved safety equipment while participating in certain Adventure Activities.  I am aware that there are guides and instructors available to answer any questions I may have as to the proper use of such equipment.  I am aware that the physical exertion required to participate in the Adventure Activities and that this can activate or aggravate pre-existing injuries, conditions, or congenital defects.  I acknowledge that I should seek medical advice if I know or suspect that my physical condition may be incompatible with Adventure Activities.","Ich bestätige, dass ich verpflichtet bin, während der Teilnahme an gewissen Abenteueraktivitäten geprüfte Sicherheitsausrüstung zu tragen. Mir ist bewusst, dass Guides und Ausbilder bereitstehen, um mir etwaige Fragen zur ordnungsgemäßen Nutzung dieser Ausrüstung zu beantworten. Mir ist bewusst, dass die Teilnahme an den Abenteueraktivitäten körperliche Anstrengungen erfordert, welche vorhandene Verletzungen, Leiden oder Geburtsfehler akut werden oder verschlimmern können. Ich nehme zur Kenntnis, dass ich ärztlichen Rat aufsuchen sollte, wenn ich weiß oder vermute, dass meine körperliche Verfassung für die Teilnahme an Abenteueraktivitäten nicht geeignet ist."
".formParticipationWaiver.part5.title1","ASSUMPTION OF RISKS","RISIKOÜBERNAHME"
".formParticipationWaiver.part5.text1.1","I am aware that Adventure Activities involve many risks, dangers and hazards including but not limited to; changing weather conditions; falling trees, limbs and ice; falling from platforms, cables and bridges; shock, stress, or other injury to the body; encounters with wildlife; equipment malfunctions; collisions with trees, vans and other vehicles, equipment or structures; collision with other participants or guides; the failure to remain within designated areas; becoming lost or separated from guides or other participants; negligence of other participants or guides; consumption of alcohol; and","Mir ist bewusst, dass Abenteueraktivitäten zahlreiche Risiken und Gefahren beinhalten, einschließlich aber nicht beschränkt auf: wechselnde Wetterbedingungen; umstürzende Bäume und herabfallende Äste und Eisstücke; der Sturz von Plattformen, Kabeln und Brücken; Schock, Stress oder sonstige körperliche Verletzungen; Begegnungen mit Wildtieren; Ausrüstungsdefekte; Zusammenstöße mit Bäumen, LKW und anderen Fahrzeugen, Geräten oder Gebäuden; Zusammenstöße mit anderen Teilnehmern oder Guides; das Verlassen der vorgesehenen Räume; sich zu verirren oder von Guides oder anderen Teilnehmern getrennt zu werden; Fahrlässigkeit seitens anderer Teilnehmern oder Guides; der Konsum von Alkohol; und "
".formParticipationWaiver.part5.text1.2","NEGLIGENCE ON THE PART OF THE RELEASEES, INCLUDING THE FAILURE ON THE PART OF THE RELEASEES TO SAFEGUARD OR PROTECT ME FROM THE RISKS, DANGERS AND HAZARDS OF ADVENTURE ACTIVITIES.","FAHRLÄSSIGKEIT SEITENS DER ENTLASTETEN, EINSCHLIESSLICH DES VERSÄUMNISSES, MICH VOR DEN RISIKEN UND GEFAHREN VON ABENTEUERAKTIVITÄTEN ZU SCHÜTZEN."
